restName,dish_name,score
The Pitt Stop,mac and cheese,"[-0.44807692307692315, 6]"
Smallman Street Deli,side cole slaw,"[-0.17307692307692313, 5]"
Sola Pizza,hawaiian pie,"[-0.9166666666666666, 1]"
Sola Pizza,sola pie,"[-0.9166666666666666, 1]"
Sola Pizza,supreme pie,"[-0.9166666666666666, 1]"
Sola Pizza,veggie pie,"[-0.9166666666666666, 1]"
Sola Pizza,steel city pie,"[-0.9166666666666666, 1]"
Maximum Flavor Pizza Shop,maximum flavor steak hoagie,"[-0.16666666666666666, 1]"
Maximum Flavor Pizza Shop,maximum flavor gyro,"[-0.16666666666666666, 1]"
Maximum Flavor Pizza Shop,maximum flavor italian hoagie,"[-0.16666666666666666, 1]"
Italian Village Pizza,chicken cheese steak,"[-0.9498015873015875, 10]"
People's Indian Restaurant,roti,"[-0.25, 1]"
Thai Place Restaurant,chili sauce,"[-0.44761904761904764, 6]"
La Gondola Pizzeria & Restaurant,rigatoni,"[-0.25, 1]"
Pizza Bellino,create your own small calzone,"[-1.0, 1]"
Pizza Bellino,meatball calzone,"[-1.0, 1]"
Pizza Bellino,mediterranean calzone,"[-1.0, 1]"
Pizza Bellino,seafood calzone,"[-1.0, 1]"
Pizza Bellino,garden calzone,"[-1.0, 1]"
Pizza Bellino,gyro calzone,"[-1.0, 1]"
Pizza Bellino,italian calzone,"[-1.0, 1]"
Pizza Bellino,rancho steak calzone,"[-1.0, 1]"
Pizza Bellino,steak calzone,"[-1.0, 1]"
Pizza Bellino,create your own large calzone,"[-1.0, 1]"
Pizza Bellino,spinach calzone,"[-1.0, 1]"
Sichuan Gourmet,lo mein,"[-0.8353174603174602, 4]"
Silky's Sports Bar & Grill,buffalo chicken wrap,"[-0.5238095238095238, 1]"
Silky's Sports Bar & Grill,chicken pignolia,"[-0.5238095238095238, 1]"
Silky's Sports Bar & Grill,spicy chicken and sausage penne,"[-0.5238095238095238, 1]"
Silky's Sports Bar & Grill,chicken strips,"[-0.5238095238095238, 1]"
Silky's Sports Bar & Grill,california chicken wrap,"[-0.5238095238095238, 1]"
Silky's Sports Bar & Grill,pesto chicken sandwich,"[-0.5238095238095238, 1]"
Top Shabu-Shabu & Lounge,seafood salad,"[-0.9565217391304348, 1]"
Tasty Chinese Restaurant,r24. chicken with curry sauce,"[-2.3388888888888886, 10]"
Afamia Mediterranean Grille,lamb and beef shawarma,"[-0.3333333333333333, 1]"
The Mintt,fish fingers,"[-0.9090909090909091, 2]"
The Mintt,pepper fish dry,"[-0.9090909090909091, 2]"
The Mintt,gongura fish,"[-0.9090909090909091, 2]"
The Mintt,amritsari fish,"[-0.9090909090909091, 2]"
R&B's Pizza Place,broccoli puff,"[-1.0, 1]"
Pizza Palermo,beef ravioli,"[-1.0, 1]"
Sinful Sweets Chocolate Company,s'mores,"[-0.04999999999999999, 2]"
La Felice Pizza and Pasta,chicken ranchero hoagie,"[-0.8333333333333334, 4]"
La Felice Pizza and Pasta,chicken hoagie,"[-0.8333333333333334, 4]"
La Felice Pizza and Pasta,chicken parmesan hoagie,"[-0.8333333333333334, 4]"
The Pretzel Shop,cheeseburger roll,"[-0.3333333333333333, 1]"
Jabo's Smoque House and Saloon,turkey devonshire sandwich lunch,"[-0.4393162393162393, 7]"
Jabo's Smoque House and Saloon,crab cake imperial sandwich lunch,"[-0.4393162393162393, 7]"
S Aiken Bar & Grille,italian calzone,"[-0.047619047619047616, 1]"
S Aiken Bar & Grille,mystic cheese calzone,"[-0.047619047619047616, 1]"
S Aiken Bar & Grille,herbivore calzone,"[-0.047619047619047616, 1]"
S Aiken Bar & Grille,carnivore calzone,"[-0.047619047619047616, 1]"
S Aiken Bar & Grille,bianco calzone,"[-0.047619047619047616, 1]"
S Aiken Bar & Grille,the original calzone,"[-0.047619047619047616, 1]"
S Aiken Bar & Grille,chicken calzone,"[-0.047619047619047616, 1]"
S Aiken Bar & Grille,steak calzone,"[-0.047619047619047616, 1]"
Bangkok Balcony,hawmok seafood,"[-0.475, 2]"
Pizza Parma,mozzarella sticks,"[-0.3333333333333333, 1]"
Rose Tea Cafe,fried tofu with chinese hot pepper,"[-12.37559433320303, 39]"
El Burro,rice,"[-0.3607142857142857, 5]"
Franktuary,grass-fed beef chili bowl,"[-0.6666666666666666, 1]"
Curry Away,c4. duck curry,"[-0.3333333333333333, 1]"
Sushi Tomo,sake,"[-0.40714285714285714, 2]"
Scoops & More,pizza,"[-3.618253968253968, 4]"
August Henry's City Saloon,quesadilla,"[-0.7073934837092732, 1]"
Local Bar + Kitchen,french onion soup,"[-0.8333333333333334, 2]"
Little Bangkok In the Strip,homemade soy milk,"[-0.06053391053391055, 3]"
Fredos Deli,2 gyro sandwiches and fries special,"[-0.5416666666666667, 5]"
Little Asia,hot chili pot with mushroom,"[-1.5333333333333332, 5]"
