restName,dish_name,score
Smallman Street Deli,u can't eat it! corned beef sandwich,"[18.01711621711621, 36]"
Smallman Street Deli,extra lean corned beef sandwich,"[18.01711621711621, 36]"
Sola Pizza,broccoli chicken pizza,"[7.5093073593073605, 19]"
Sola Pizza,chicken and spinach pizza,"[7.5093073593073605, 19]"
Sola Pizza,the spartan pizza,"[7.5093073593073605, 19]"
Sola Pizza,buffalo chicken pizza,"[7.5093073593073605, 19]"
Sola Pizza,"gluten free 12"" pizza steak","[7.5093073593073605, 19]"
Sola Pizza,spinach pizza with feta,"[7.5093073593073605, 19]"
Sola Pizza,bianca pizza,"[7.5093073593073605, 19]"
Sola Pizza,philly steak pizza,"[7.5093073593073605, 19]"
Sola Pizza,the greco pizza,"[7.5093073593073605, 19]"
Sola Pizza,bbq chicken pizza,"[7.5093073593073605, 19]"
Sola Pizza,gluten free medium cheese pizza,"[7.5093073593073605, 19]"
Sola Pizza,godfather pizza,"[7.5093073593073605, 19]"
Maximum Flavor Pizza Shop,"18"" extra large cheese pizza","[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,"16"" large cheese pizza","[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,"16"" large white pizza","[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,cheese pizza slice,"[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,maximum stuffed pizza slice,"[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,"18"" extra large white pizza","[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,"14"" medium cheese pizza","[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,mushroom pizza slice,"[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,vegetables pizza slice,"[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,pepperoni pizza slice,"[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,house special pizza,"[2.283333333333333, 10]"
Maximum Flavor Pizza Shop,"14"" medium white pizza","[2.283333333333333, 10]"
Italian Village Pizza,sicilian square cut thick pizza,"[15.392496392496394, 28]"
Italian Village Pizza,real italian pizza,"[15.392496392496394, 28]"
Italian Village Pizza,hoagie bun pizza,"[15.392496392496394, 28]"
People's Indian Restaurant,masala chai,"[2.6063492063492064, 8]"
People's Indian Restaurant,chicken mango,"[2.6109717868338556, 8]"
People's Indian Restaurant,people's choice platter,"[2.344877344877345, 3]"
Thai Place Restaurant,thai place seafood platter,"[7.762337662337661, 24]"
Thai Place Restaurant,thai place fried rice,"[8.809040959040956, 32]"
Thai Place Restaurant,thai place delight,"[7.762337662337661, 24]"
La Gondola Pizzeria & Restaurant,sicilian pizza slice,"[14.482346819846818, 34]"
La Gondola Pizzeria & Restaurant,frutta di mare seafood pizza,"[14.544383856883854, 33]"
La Gondola Pizzeria & Restaurant,thin pizza slice,"[14.024013486513486, 33]"
Pizza Bellino,french fries with cheese and bacon,"[5.612368187368187, 16]"
Pizza Bellino,garden salad with cheese,"[5.927386502386502, 18]"
Pizza Bellino,buffalo fries with cheese and bacon,"[5.75522533022533, 17]"
Sichuan Gourmet,n7. yam noodles with beef in spicy soup,"[18.122028955358335, 46]"
Sichuan Gourmet,f2. spicy duck with beer flavor in flaming pan,"[18.145299287380844, 41]"
Sichuan Gourmet,f1. spicy chicken in flaming pan,"[20.35259806159138, 56]"
Silky's Sports Bar & Grill,waffle fries,"[2.6253357753357753, 6]"
Silky's Sports Bar & Grill,root beer,"[4.695454545454546, 12]"
Silky's Sports Bar & Grill,silky burger,"[1.4678571428571427, 6]"
Sal's City Deli,sal's chips and dip,"[6.124242424242424, 13]"
Sal's City Deli,blackened chicken sandwich,"[4.283766233766234, 15]"
Sal's City Deli,fish sandwich,"[4.908766233766234, 14]"
Top Shabu-Shabu & Lounge,hot spicy pot,"[7.155491452991454, 31]"
Top Shabu-Shabu & Lounge,pork belly with garlic sauce,"[2.1706349206349205, 8]"
Top Shabu-Shabu & Lounge,seaweed with garlic sauce,"[2.0456349206349205, 9]"
Tasty Chinese Restaurant,cs6. home style tofu,"[1.9257002801120449, 6]"
Tasty Chinese Restaurant,l41. vegetable fried rice,"[1.8103896103896102, 8]"
Tasty Chinese Restaurant,fr5. vegetable fried rice,"[1.8103896103896102, 8]"
Tasty Chinese Restaurant,cf9. beef chow fun with vegetables,"[1.8513888888888888, 6]"
Pizza Perfectta,just for me hoagie and wings special,"[3.504761904761905, 13]"
Pizza Perfectta,spaghetti with marinara sauce,"[5.084523809523809, 11]"
Pizza Perfectta,hoagie and wings special,"[3.504761904761905, 13]"
Pizza Perfectta,2 toppings medium pizza special,"[3.5083333333333337, 6]"
Afamia Mediterranean Grille,basket salad,"[2.099216524216524, 5]"
Afamia Mediterranean Grille,afamia deluxe salad,"[2.099216524216524, 5]"
Afamia Mediterranean Grille,mediterranean salad,"[2.099216524216524, 5]"
Afamia Mediterranean Grille,hummus,"[2.9995238095238097, 7]"
Afamia Mediterranean Grille,fattoush salad,"[2.099216524216524, 5]"
Afamia Mediterranean Grille,carrot salad,"[2.099216524216524, 5]"
Afamia Mediterranean Grille,shobska salad,"[2.099216524216524, 5]"
Afamia Mediterranean Grille,tabbouli salad,"[2.122293447293447, 5]"
The Mintt,mintt special green salad,"[2.718614718614719, 9]"
The Mintt,mintt special noodles,"[2.718614718614719, 9]"
The Mintt,mintt special biryani,"[3.618614718614719, 11]"
The Mintt,naan,"[3.1978095433977787, 13]"
R&B's Pizza Place,tuscany chicken pizza,"[4.05989010989011, 17]"
R&B's Pizza Place,spinach and chicken pizza,"[4.05989010989011, 17]"
R&B's Pizza Place,buffalo chicken pizza,"[4.05989010989011, 17]"
R&B's Pizza Place,chicken ranchero pizza,"[4.05989010989011, 17]"
R&B's Pizza Place,bbq chicken pizza,"[4.05989010989011, 17]"
R&B's Pizza Place,"large 16"" cheese pizza and whole 16"" hoagie","[4.113003663003662, 21]"
Pizza Palermo,home made ranch sauce,"[3.447076023391813, 11]"
Pizza Palermo,chicken tenders with fries,"[4.527777777777779, 7]"
Pizza Palermo,garlic bread,"[3.0555555555555554, 3]"
Sinful Sweets Chocolate Company,triple chocolate cake pop,"[24.119154456654446, 59]"
Sinful Sweets Chocolate Company,chocolate peanut butter cake pop,"[24.535821123321114, 60]"
Sinful Sweets Chocolate Company,chocolate covered bacon,"[22.9455142080142, 55]"
La Felice Pizza and Pasta,cheese pizza,"[7.6240440115440125, 19]"
La Felice Pizza and Pasta,large cheese pizza and 12 wings special,"[7.415710678210679, 20]"
La Felice Pizza and Pasta,large gourmet pizza and medium cheese pizza special,"[7.3740440115440125, 18]"
La Felice Pizza and Pasta,extra large cheese pizza special (pickup only),"[7.3740440115440125, 18]"
La Felice Pizza and Pasta,large cheese pizza special (pickup only),"[7.3740440115440125, 18]"
Soba,crispy tofu,"[24.864145299145296, 25]"
Soba,spicy tuna maki roll,"[17.51429491561071, 69]"
Soba,double tuna maki roll,"[13.782609933925723, 55]"
The Pretzel Shop,classic pretzel shop salad,"[31.165873015873014, 61]"
The Pretzel Shop,buffalo chicken pretzel sandwich,"[28.68971861471862, 57]"
The Pretzel Shop,gyro pretzel sandwich,"[28.273051948051947, 56]"
Jabo's Smoque House and Saloon,del's smokehouse burger lunch,"[1.4444444444444444, 4]"
Jabo's Smoque House and Saloon,cheese and tomato sauce pizza,"[2.263852813852814, 7]"
Jabo's Smoque House and Saloon,mussels in white wine sauce,"[1.5333333333333332, 3]"
Tamarind Savoring India,chicken tikka,"[6.102810098398334, 20]"
Tamarind Savoring India,butter chicken special,"[4.700032320620556, 17]"
Tamarind Savoring India,naan,"[6.730357142857143, 16]"
S Aiken Bar & Grille,large 1-topping pizza and italian hoagie special with 2 liter drink,"[2.2484182484182487, 10]"
S Aiken Bar & Grille,seasoned fries with bacon and cheese,"[1.9375, 4]"
S Aiken Bar & Grille,pizza burger,"[2.016275391275391, 11]"
S Aiken Bar & Grille,add chili and cheese to fries,"[1.9375, 4]"
S Aiken Bar & Grille,add cheese to fries,"[1.9375, 4]"
S Aiken Bar & Grille,seasoned fries with cheese,"[1.9375, 4]"
S Aiken Bar & Grille,seasoned fries with chili and cheese,"[1.9375, 4]"
Bangkok Balcony,thai spaghetti with green curry,"[45.80019326671999, 84]"
Bangkok Balcony,2 thai spring roll,"[48.628065394592106, 76]"
Bangkok Balcony,pad thai,"[47.84868731652982, 75]"
Pizza Parma,grilled chicken feta salad,"[1.476190476190476, 5]"
Pizza Parma,popcorn chicken salad,"[1.476190476190476, 5]"
Pizza Parma,grilled chicken caesar salad,"[1.476190476190476, 5]"
Pizza Parma,grilled chicken salad,"[1.476190476190476, 5]"
Pizza Parma,buffalo chicken salad,"[1.476190476190476, 5]"
Campus Deli,pepperoni create your own sandwich,"[2.8333333333333335, 2]"
Campus Deli,the spicy chicken sandwich,"[2.8333333333333335, 2]"
Campus Deli,corned beef create your own sandwich,"[2.8333333333333335, 2]"
Campus Deli,smoked turkey create your own sandwich,"[2.8333333333333335, 2]"
Campus Deli,capicola create your own sandwich,"[2.8333333333333335, 2]"
Campus Deli,baked ham create your own sandwich,"[2.8333333333333335, 2]"
Campus Deli,chicken hummus sandwich,"[2.8333333333333335, 2]"
Campus Deli,chicken salad create your own sandwich,"[3.138888888888889, 4]"
Campus Deli,genoa salami create your own sandwich,"[2.8333333333333335, 2]"
Campus Deli,cheese create your own sandwich,"[2.8333333333333335, 2]"
Campus Deli,grilled chicken sandwich,"[2.8333333333333335, 2]"
Rose Tea Cafe,mango green milk tea,"[54.444002503568775, 157]"
Rose Tea Cafe,almond black milk tea,"[54.7102771929317, 161]"
Rose Tea Cafe,black tea and coffee with milk,"[53.98921492186943, 159]"
Pastitsio,falafel salad,"[13.756619769119768, 31]"
Pastitsio,lamb salad,"[12.342448646125117, 29]"
Pastitsio,chicken salad,"[10.866236949325184, 23]"
El Burro,2 fish tacos,"[27.67419149477972, 48]"
El Burro,shredded beef rolled tacos,"[26.2785565741448, 47]"
El Burro,potato rolled tacos,"[26.12617562176385, 47]"
Franktuary,pittsburgh frank,"[1.0595238095238093, 3]"
Franktuary,baked potato poutine,"[1.2976190476190477, 3]"
Franktuary,corn dog,"[1.277777777777778, 6]"
Curry Away,ls5. lunch thai fried rice,"[3.3375258799171843, 9]"
Curry Away,n1. pad thai,"[5.052716727716728, 12]"
Curry Away,ls1. lunch pad thai,"[5.346194988586293, 13]"
Sushi Tomo,tomo boat for 1 platter,"[10.484923848081742, 29]"
Sushi Tomo,8 pieces tomo roll,"[14.309937771779875, 40]"
Sushi Tomo,tomo boat for 2 platter,"[10.484923848081742, 29]"
Scoops & More,chicken gyro sandwich,"[1.4433333333333334, 3]"
Scoops & More,chicken and cheese philly hoagie,"[2.0317460317460316, 4]"
Scoops & More,chicken salad,"[1.25, 2]"
Scoops & More,buffalo chicken salad,"[1.25, 2]"
August Henry's City Saloon,lunch pittsburgh jumbo fish sandwich,"[5.572963044867068, 16]"
August Henry's City Saloon,lunch fish and chips,"[6.0859649122807005, 15]"
August Henry's City Saloon,would lunch pittsburgh chicken cheesesteak sandwich,"[5.078968253968254, 17]"
Mandy's Pizza,"12"" cheese gluten-free pizza","[23.09316002624826, 55]"
Mandy's Pizza,"12"" cheese allergen-friendly specialty pizza","[23.36816002624826, 55]"
Mandy's Pizza,"12"" cheese gluten-free specialty pizza","[23.59316002624826, 56]"
Local Bar + Kitchen,3 rivers stadium burger,"[5.413888888888889, 12]"
Local Bar + Kitchen,mexican war street burger,"[6.220573870573871, 19]"
Local Bar + Kitchen,helltown beer battered onion rings,"[7.315156582547886, 22]"
Little Bangkok In the Strip,kid's thai fried rice chicken,"[32.360735996030115, 53]"
Little Bangkok In the Strip,pad thai lunch special,"[38.88595669036845, 59]"
Little Bangkok In the Strip,kid's pad thai chicken,"[31.668146232852116, 50]"
Fredos Deli,cevapi meal,"[1.8319444444444444, 4]"
Fredos Deli,large cevapi,"[1.8319444444444444, 4]"
Fredos Deli,small cevapi,"[1.8319444444444444, 4]"
Fredos Deli,12 wings and whole hoagie special,"[2.083333333333333, 3]"
Geppetto Cafe,nutella classic crepe,"[15.524810788626572, 32]"
Geppetto Cafe,ham and cheese crepe,"[18.887559740787292, 39]"
Geppetto Cafe,chicken and gruyere cheese crepe,"[18.9767404130562, 43]"
Little Asia,potato curry chicken over rice lunch,"[5.265891053391052, 24]"
Little Asia,chicken wing with spicy chili over rice lunch,"[4.914700577200576, 27]"
Little Asia,chicken wing with bbq over rice lunch,"[5.015891053391053, 24]"
